name,id,semsId,city,county,lng,lat,dateProposed,dateListed,dateCompleted,dateNOID,dateDeleted,stateName,stateCode,npl
"Harvey & Knott Drum, Inc.",DED980713093,300123,Kirkwood,New Castle,-75.770839,39.573331,1982-12-30,1983-09-08,1994-06-22,,,Delaware,DE,cleaning
New Castle Steel,DED980705255,300106,New Castle County,New Castle,-75.577769,39.657781,1982-12-30,1983-09-08,1988-08-17,1988-09-22,1989-03-17,Delaware,DE,completed
New Castle Spill,DED058980442,300069,New Castle County,New Castle,-75.561669,39.670281,1982-12-30,1983-09-08,1992-07-19,1996-03-21,1996-06-12,Delaware,DE,completed
Tybouts Corner Landfill,DED000606079,300035,New Castle County,New Castle,-75.653339,39.6125,1982-12-30,1983-09-08,1995-09-11,,,Delaware,DE,cleaning
Wildcat Landfill,DED980704951,300101,Dover,Kent,-75.5,39.120831,1982-12-30,1983-09-08,1992-09-30,2003-01-13,2003-03-14,Delaware,DE,completed
Coker's Sanitation Service Landfills,DED980704860,300097,Kent County,Kent,-75.611389,39.227219,1985-04-10,1987-07-22,1993-09-29,2011-06-03,2011-08-02,Delaware,DE,completed
NCR Corp. (Millsboro Plant),DED043958388,300061,Millsboro,Sussex,-75.283061,38.5775,1985-04-10,1987-07-22,1996-09-27,,,Delaware,DE,cleaning
Halby Chemical Co.,DED980830954,300125,New Castle,New Castle,-75.537219,39.718611,1985-09-18,1986-06-10,2002-04-22,,,Delaware,DE,cleaning
"Standard Chlorine of Delaware, Inc.",DED041212473,300058,Delaware City,New Castle,-75.635831,39.599581,1985-09-18,1987-07-22,,,,Delaware,DE,listed
Tyler Refrigeration Pit,DED980705545,300111,Smyrna,Kent,-75.618889,39.295281,1986-06-10,1990-02-21,1996-05-10,2004-01-28,2004-03-29,Delaware,DE,completed
Dover Gas Light Co.,DED980693550,300095,Dover,Kent,-75.5277,39.1558,1987-01-22,1989-10-04,,,,Delaware,DE,listed
"E.I. du Pont de Nemours & Co., Inc. (Newport Pigment Plant Landfill)",DED980555122,300093,Newport,New Castle,-75.609169,39.708331,1987-01-22,1990-02-21,2002-09-19,,,Delaware,DE,cleaning
Sussex County Landfill No. 5,DED980494637,300089,Laurel,Sussex,-75.614169,38.535,1988-06-24,1989-10-04,1994-12-29,2001-07-30,2001-09-28,Delaware,DE,completed
Sealand Limited,DED981035520,300137,Mount Pleasant,New Castle,-75.71,39.5126,1988-06-24,1990-08-30,1992-03-27,1997-02-10,1997-07-01,Delaware,DE,completed
"Koppers Co., Inc. (Newport Plant)",DED980552244,300092,Newport,New Castle,-75.624169,39.704719,1989-10-26,1990-08-30,,,,Delaware,DE,listed
Dover Air Force Base,DE8570024010,300191,Dover,Kent,-75.466669,39.127781,1987-07-22,1989-03-13,2006-09-27,,,Delaware,DE,cleaning
"Chem-Solv, Inc.",DED980714141,300124,Cheswold,Kent,-75.5764,39.2216,1988-06-24,1990-08-30,1998-06-30,2022-03-31,2022-08-17,Delaware,DE,completed
Millsboro TCE,DEN000306645,306645,Millsboro,Sussex,-75.298061,38.588158,2009-09-23,,,,,Delaware,DE,proposed
Newark South Ground Water Plume,DEN000306877,306877,Newark,New Castle,-75.735,39.653889,2017-08-03,2018-01-18,,,,Delaware,DE,listed
Hockessin Groundwater,DEN000303920,303920,Hockessin,New Castle,-75.696513,39.78752,2018-01-18,2018-05-17,,,,Delaware,DE,listed
Blades Groundwater,DEN000304203,304203,Blades,Sussex,-75.610467,38.631644,2019-11-08,2020-09-03,,,,Delaware,DE,listed
Georgetown North Groundwater,DEN000304167,304167,Georgetown,Sussex,-75.383985,38.693399,2022-03-18,2022-09-09,,,,Delaware,DE,listed
East Basin Road Groundwater,DEN000304044,304044,New Castle,New Castle,-75.597211,39.673092,2022-09-09,2023-03-29,,,,Delaware,DE,listed
Alpha Chemical Corp.,FLD041495441,400623,Galloway,Polk,-82.009719,28.100831,1982-12-30,1983-09-08,1990-09-21,1995-05-03,1995-06-28,Florida,FL,completed
American Creosote Works (Pensacola Plant),FLD008161994,400572,Pensacola,Escambia,-87.236661,30.404719,1982-12-30,1983-09-08,,,,Florida,FL,listed
Brown Wood Preserving,FLD980728935,400917,Live Oak,Suwannee,-83.01305,30.3025,1982-12-30,1983-09-08,1991-12-31,1995-07-06,1995-09-22,Florida,FL,completed
Coleman-Evans Wood Preserving Co.,FLD991279894,401202,Whitehouse,Duval,-81.842781,30.313889,1982-12-30,1983-09-08,2007-09-18,2014-03-27,2014-05-27,Florida,FL,completed
Davie Landfill,FLD980602288,400897,Davie,Broward,-80.3426,26.0696,1982-12-30,1983-09-08,1995-11-08,2006-06-22,2006-08-21,Florida,FL,completed
Florida Steel Corp.,FLD050432251,400657,Indiantown,Martin,-80.506111,27.041111,1982-12-30,1983-09-08,1997-09-11,,,Florida,FL,cleaning
Gold Coast Oil Corp.,FLD071307680,400736,Miami,Miami-Dade,-80.3112,25.7434,1982-12-30,1983-09-08,1992-06-23,1996-08-21,1996-10-09,Florida,FL,completed
Hollingsworth Solderless Terminal,FLD004119681,400548,Fort Lauderdale,Broward,-80.152219,26.198331,1982-12-30,1983-09-08,1993-06-04,,,Florida,FL,cleaning
Kassauf-Kimerling Battery Disposal,FLD980727820,400914,Tampa,Hillsborough,-82.39,27.967219,1982-12-30,1983-09-08,1998-09-24,1999-08-05,2000-10-02,Florida,FL,completed
Miami Drum Services,FLD076027820,400746,Miami,Miami-Dade,-80.313061,25.837219,1982-12-30,1983-09-08,1993-04-28,,,Florida,FL,cleaning
Munisport Landfill,FLD084535442,400769,North Miami,Miami-Dade,-80.154169,25.908331,1982-12-30,1983-09-08,1997-09-05,1999-06-25,1999-09-24,Florida,FL,completed
Northwest 58th Street Landfill,FLD980602643,400900,Hialeah,Miami-Dade,-80.347219,25.833331,1982-12-30,1983-09-08,1995-03-06,1996-08-02,1996-10-11,Florida,FL,completed
Parramore Surplus,FLD041140344,400622,Mount Pleasant,Gadsden,-84.69375,30.660689,1982-12-30,1983-09-08,1987-09-15,1988-11-29,1989-02-21,Florida,FL,completed
Pickettville Road Landfill,FLD980556351,400859,Jacksonville,Duval,-81.738889,30.368611,1982-12-30,1983-09-08,2008-09-24,,,Florida,FL,cleaning
Pioneer Sand Co.,FLD056116965,400684,Warrington,Escambia,-87.351389,30.474169,1982-12-30,1983-09-08,1991-12-31,1992-12-01,1993-02-08,Florida,FL,completed
Reeves Southeastern Galvanizing Corp.,FLD000824896,400485,Tampa,Hillsborough,-82.341939,27.9725,1982-12-30,1983-09-08,2019-09-10,,,Florida,FL,cleaning
Sapp Battery Salvage,FLD980602882,400902,Cottondale,Jackson,-85.3925,30.728331,1982-12-30,1983-09-08,2012-09-19,,,Florida,FL,cleaning
Schuylkill Metals Corp.,FLD062794003,400710,Plant City,Hillsborough,-82.143061,28.010831,1982-12-30,1983-09-08,1998-09-15,2001-06-12,2001-08-22,Florida,FL,completed
Sherwood Medical Industries,FLD043861392,400637,Deland,Volusia,-81.265,29.060831,1982-12-30,1983-09-08,1997-09-18,,,Florida,FL,cleaning
Taylor Road Landfill,FLD980494959,400853,Seffner,Hillsborough,-82.29305,28.009719,1982-12-30,1983-09-08,1999-06-18,,,Florida,FL,cleaning
Tower Chemical Co.,FLD004065546,400521,Clermont,Lake,-81.684719,28.551389,1982-12-30,1983-09-08,,,,Florida,FL,listed
Varsol Spill,FLD980602346,400898,Miami,Miami-Dade,-80.2772,25.8047,1982-12-30,1983-09-08,1985-03-29,1988-03-14,1988-09-01,Florida,FL,completed
Whitehouse Oil Pits,FLD980602767,400901,Whitehouse,Duval,-81.8513,30.3201,1982-12-30,1983-09-08,2006-05-04,2018-07-17,2018-09-19,Florida,FL,completed
Zellwood Ground Water Contamination,FLD049985302,400655,Zellwood,Orange,-81.613331,28.73195,1982-12-30,1983-09-08,2003-09-16,,,Florida,FL,cleaning
Sixty-Second Street Dump,FLD980728877,400916,Tampa,Hillsborough,-82.386389,27.969439,1982-12-30,1983-09-08,1995-09-29,1999-08-04,1999-10-01,Florida,FL,completed
Cabot/Koppers,FLD980709356,400903,Gainesville,Alachua,-82.323061,29.675,1983-09-08,1984-09-21,,,,Florida,FL,listed
Dubose Oil Products Co.,FLD000833368,400492,Cantonment,Escambia,-87.37695,30.618061,1984-10-15,1986-06-10,1995-09-25,2004-08-04,2004-10-01,Florida,FL,completed
Hipps Road Landfill,FLD980709802,400908,Duval County,Duval,-81.805561,30.216939,1983-09-08,1984-09-21,1994-09-02,2011-12-29,2012-02-27,Florida,FL,completed
Peak Oil Co./Bay Drum Co.,FLD004091807,400536,Tampa,Hillsborough,-82.3404,27.9708,1984-10-15,1986-06-10,2006-09-26,,,Florida,FL,cleaning
"Pepper Steel & Alloys, Inc.",FLD032544587,400599,Medley,Miami-Dade,-80.353331,25.873611,1983-09-08,1984-09-21,1993-09-28,,,Florida,FL,cleaning
Sydney Mine Sludge Ponds,FLD000648055,400471,Brandon,Hillsborough,-82.209166,27.929166,1986-06-10,1989-10-04,1999-06-28,,,Florida,FL,cleaning
"Tri-City Oil Conservationist, Inc.",FLD070864541,400733,Tampa,Hillsborough,-82.4015,28.0318,1983-09-08,1984-09-21,1987-09-21,1988-03-14,1988-09-01,Florida,FL,completed
Wingate Road Municipal Incinerator Dump,FLD981021470,401078,Fort Lauderdale,Broward,-80.1847,26.1444,1988-06-24,1989-10-04,2002-01-04,,,Florida,FL,cleaning
Piper Aircraft Corp./Vero Beach Water & Sewer Department,FLD004054284,400512,Vero Beach,Indian River,-80.415555,27.647499,1986-06-10,1990-02-21,1998-09-21,,,Florida,FL,cleaning
Harris Corp. (Palm Bay Plant),FLD000602334,400460,Palm Bay,Brevard,-80.601389,28.030281,1985-04-10,1987-07-22,1998-07-01,,,Florida,FL,cleaning
Petroleum Products Corp.,FLD980798698,400919,Pembroke Park,Broward,-80.1696,25.9926,1985-04-10,1987-07-22,,,,Florida,FL,listed
Yellow Water Road Dump,FLD980844179,400933,Baldwin,Duval,-81.9717,30.2803,1985-09-18,1986-06-10,1996-10-03,1998-12-23,1999-05-18,Florida,FL,completed
"Anodyne, Inc.",FLD981014368,401044,North Miami Beach,Miami-Dade,-80.221531,25.923189,1988-06-24,1990-02-21,,,,Florida,FL,listed
Beulah Landfill,FLD980494660,400836,Pensacola,Escambia,-87.345139,30.513061,1988-06-24,1990-02-21,1993-09-16,1998-04-24,1998-06-22,Florida,FL,completed
Airco Plating Co.,FLD004145140,400561,Miami,Miami-Dade,-80.2559,25.8152,1988-06-24,1990-02-21,1999-09-15,,,Florida,FL,cleaning
Standard Auto Bumper Corp.,FLD004126520,400554,Hialeah,Miami-Dade,-80.289721,25.844444,1988-06-24,1989-10-04,1994-10-04,2007-08-27,2007-10-26,Florida,FL,completed
"B&B Chemical Co., Inc.",FLD004574190,400566,Hialeah,Miami-Dade,-80.300139,25.839581,1988-06-24,1990-08-30,1994-10-01,2014-06-06,2014-08-05,Florida,FL,completed
Woodbury Chemical Co. (Princeton Plant),FLD004146346,400563,Princeton,Miami-Dade,-80.4124,25.5367,1988-06-24,1990-08-30,1992-06-25,1995-08-21,1995-11-27,Florida,FL,completed
Madison County Sanitary Landfill,FLD981019235,404199,Madison,Madison,-83.39375,30.501111,1988-06-24,1990-08-30,1997-02-04,,,Florida,FL,cleaning
"Chemform, Inc.",FLD080174402,400756,Pompano Beach,Broward,-80.141374,26.219055,1988-06-24,1989-10-04,1993-09-16,2000-05-09,2000-07-28,Florida,FL,completed
Agrico Chemical Co.,FLD980221857,400818,Pensacola,Escambia,-87.2256,30.4512,1988-06-24,1989-10-04,1999-09-23,,,Florida,FL,cleaning
"Wilson Concepts of Florida, Inc.",FLD041184383,404399,Pompano Beach,Broward,-80.142768,26.218675,1988-06-24,1989-03-31,1992-09-22,1995-02-10,1995-04-04,Florida,FL,completed
BMI-Textron,FLD052172954,400668,Lake Park,Palm Beach,-80.0738,26.7937,1988-06-24,1990-08-30,1994-08-11,2002-09-19,2002-11-18,Florida,FL,completed
Anaconda Aluminum Co./Milgo Electronics Corp.,FLD020536538,400581,Miami,Miami-Dade,-80.256531,25.843061,1989-10-26,1990-08-30,1994-11-22,1998-03-23,1998-07-09,Florida,FL,completed
Jacksonville Naval Air Station,FL6170024412,401214,Jacksonville,Duval,-81.682777,30.22111,1989-07-14,1989-11-21,,,,Florida,FL,listed
Cecil Field Naval Air Station,FL5170022474,404743,Jacksonville,Duval,-81.902777,30.23861,1989-07-14,1989-11-21,2009-08-26,,,Florida,FL,cleaning
Pensacola Naval Air Station,FL9170024567,401221,Pensacola,Escambia,-87.283054,30.357222,1989-07-14,1989-11-21,,,,Florida,FL,listed
Homestead Air Force Base,FL7570024037,404746,Homestead,Miami-Dade,-80.396944,25.489444,1989-07-14,1990-08-30,2006-09-29,,,Florida,FL,cleaning
Stauffer Chemical Co. (Tarpon Springs),FLD010596013,400578,Tarpon Springs,Pinellas,-82.775694,28.166666,1992-02-07,1994-05-31,,,,Florida,FL,listed
Helena Chemical Co. (Tampa Plant),FLD053502696,400674,Tampa,Hillsborough,-82.374813,27.963931,1992-02-07,1992-10-14,,,,Florida,FL,listed
Whiting Field Naval Air Station,FL2170023244,401208,Milton,Santa Rosa,-87.020417,30.709722,1994-01-18,1994-05-31,,,,Florida,FL,listed
Chevron Chemical Co. (Ortho Division),FLD004064242,400520,Orlando,Orange,-81.408889,28.578889,1994-01-18,1994-05-31,1998-02-10,,,Florida,FL,cleaning
Escambia Wood - Pensacola,FLD008168346,400573,Pensacola,Escambia,-87.2317,30.4553,1994-08-23,1994-12-16,,,,Florida,FL,listed
Normandy Park Apartments,FLD984229773,405823,Temple Terrace,Hillsborough,-82.394722,28.049444,1995-02-13,,,,,Florida,FL,proposed
MRI Corp (Tampa),FLD088787585,400779,Tampa,Hillsborough,-82.355833,27.96,1996-06-17,1996-12-23,2013-03-21,,,Florida,FL,cleaning
Kerr-McGee (Reed-Keppler Park),ILD980824007,500761,West Chicago,Du Page,-88.208339,41.891939,1984-10-15,1990-08-30,2002-09-13,2009-12-08,2010-02-08,Illinois,IL,completed
Kerr-McGee (Residential Areas),ILD980824015,500762,"DuPage County, West Chicago",Du Page,-88.2075,41.878333,1984-10-15,1990-08-30,2003-09-30,,,Illinois,IL,cleaning
Kerr-McGee (Sewage Treatment Plant),ILD980824031,500763,West Chicago,Du Page,-88.1924,41.8643,1984-10-15,1990-08-30,2006-09-29,2013-02-19,2013-04-22,Illinois,IL,completed
Sangamo Electric Dump/Crab Orchard National Wildlife Refuge (USDOI),IL8143609487,501181,Carterville,Williamson,-89.014722,37.693194,1984-10-15,1987-07-22,,,,Illinois,IL,listed
NL Industries/Taracorp Lead Smelter,ILD096731468,500507,Granite City,Madison,-90.158331,38.695,1984-10-15,1986-06-10,2000-09-26,,,Illinois,IL,cleaning
Petersen Sand & Gravel,ILD003817137,500127,Libertyville,Lake,-87.9537,42.315831,1984-10-15,1986-06-10,1989-09-12,1989-09-22,1991-02-11,Illinois,IL,completed
Pagel's Pit,ILD980606685,500628,Rockford,Winnebago,-89.056661,42.158331,1984-10-15,1986-06-10,1999-09-30,,,Illinois,IL,cleaning
Joliet Army Ammunition Plant (Manufacturing Area),IL7213820460,501179,Joliet,Will,-88.1563,41.3762,1984-10-15,1987-07-22,2008-09-10,,,Illinois,IL,cleaning
H.O.D. Landfill,ILD980605836,500581,Antioch,Lake,-88.0819,42.4753,1985-09-18,1990-02-21,2001-06-29,,,Illinois,IL,cleaning
"Tri-County Landfill Co./Waste Management of Illinois, Inc.",ILD048306138,500340,South Elgin,Kane,-88.2712,41.9832,1986-06-10,1989-03-31,2001-11-01,,,Illinois,IL,cleaning
Parsons Casket Hardware Co.,ILD005252432,500189,Belvidere,Boone,-88.836,42.2692,1987-01-22,1987-07-22,,,,Illinois,IL,listed
Yeoman Creek Landfill,ILD980500102,500574,Waukegan,Lake,-87.848611,42.388889,1988-06-24,1989-03-31,2005-09-23,,,Illinois,IL,cleaning
DuPage County Landfill/Blackwell Forest,ILD980606305,500606,Warrenville,Du Page,-88.1787,41.8326,1988-06-24,1990-02-21,1998-09-30,2020-07-08,2020-09-08,Illinois,IL,completed
Southeast Rockford Ground Water Contamination,ILD981000417,500955,Rockford,Winnebago,-89.071111,42.230689,1988-06-24,1989-03-31,,,,Illinois,IL,listed
Amoco Chemicals (Joliet Landfill),ILD002994259,500125,Joliet,Will,-88.172781,41.441669,1988-06-24,1990-02-21,,,,Illinois,IL,listed
"Interstate Pollution Control, Inc.",ILT180011975,501164,Rockford,Winnebago,-89.098,42.241,1988-06-24,1989-03-31,2006-09-06,,,Illinois,IL,cleaning
Central Illinois Public Service Co.,ILD981781065,501082,Taylorville,Christian,-89.2975,39.5404,1988-06-24,1990-08-30,1995-09-06,,,Illinois,IL,cleaning
Ilada Energy Co.,ILD980996789,500942,East Cape Girardeau,Alexander,-89.4635,37.2584,1988-06-24,1989-10-04,1999-09-28,2000-11-09,2001-01-08,Illinois,IL,completed
Woodstock Municipal Landfill,ILD980605943,500585,Woodstock,McHenry,-88.4402,42.2923,1988-06-24,1989-10-04,2000-09-19,,,Illinois,IL,cleaning
MIG/Dewane Landfill,ILD980497788,500551,Belvidere,Boone,-88.806944,42.255917,1989-10-26,1990-08-30,2017-07-27,,,Illinois,IL,cleaning
"Lenz Oil Service, Inc.",ILD005451711,500199,Lemont,Du Page,-87.9422,41.7068,1988-06-24,1989-10-04,2009-09-28,,,Illinois,IL,cleaning
Adams County Quincy Landfills 2&3,ILD980607055,500656,Quincy,Adams,-91.268472,39.929444,1988-06-24,1990-08-30,1999-03-31,,,Illinois,IL,cleaning
Beloit Corp.,ILD021440375,500272,Rockton,Winnebago,-89.06555,42.468611,1988-06-24,1990-08-30,2008-09-29,,,Illinois,IL,cleaning
Ottawa Radiation Areas,ILD980606750,500634,Ottawa,La Salle,-88.836111,41.351667,1991-07-29,1992-10-14,,,,Illinois,IL,listed
Jennison-Wright Corporation,ILD006282479,500229,Granite City,Madison,-90.1525,38.708333,1995-10-02,1996-06-17,2009-09-28,,,Illinois,IL,cleaning
Circle Smelting Corp,ILD050231976,500350,Beckemeyer,Clinton,-89.420833,38.608333,1996-06-17,,,,,Illinois,IL,proposed
DePue/New Jersey Zinc/Mobil Chemical Corp.,ILD062340641,500396,DePue,Bureau,-89.304167,41.327778,1997-04-01,1999-05-10,,,,Illinois,IL,listed
Indian Refinery-Texaco Lawrenceville,ILD042671248,500315,Lawrenceville,Lawrence,-87.682222,38.715556,1998-07-28,2000-12-01,,,,Illinois,IL,listed
Matthiessen and Hegeler Zinc Company,IL0000064782,507364,La Salle,La Salle,-89.083067,41.34215,2001-06-14,2003-09-29,,,,Illinois,IL,listed
Sauget Area 1,ILD980792006,500753,"Cahokia, Sauget",St. Clair,-90.172917,38.585833,2001-09-13,,,,,Illinois,IL,proposed
Sauget Area 2,ILD000605790,500047,Sauget,St. Clair,-90.182222,38.597361,2001-09-13,,,,,Illinois,IL,proposed
Savanna Army Depot Activity,IL3210020803,501174,Savanna,Jo Daviess,-90.313331,42.21,1987-07-22,1989-03-13,,,,Illinois,IL,listed
Joliet Army Ammunition Plant (Load-Assembly-Packing Area),IL0210090049,501170,Joliet,Will,-88.0772,41.3662,1987-07-22,1989-03-13,2008-09-29,,,Illinois,IL,cleaning
Hegeler Zinc,ILN000508134,508134,Danville,Vermilion,-87.650092,40.076322,2004-09-23,2005-04-27,,,,Illinois,IL,listed
Lake Calumet Cluster,ILD000716852,500078,Chicago,Cook,-87.568889,41.679444,2005-09-14,2010-03-04,,,,Illinois,IL,listed
ASARCO Taylor Springs,ILN000508170,508170,Taylor Springs,Montgomery,-89.505458,39.118677,2006-04-19,2006-09-27,,,,Illinois,IL,listed
Eagle Zinc Co Div T L Diamond,ILD980606941,500648,Hillsboro,Montgomery,-89.476417,39.161167,2007-03-07,2007-09-19,,,,Illinois,IL,listed
Chemetco,ILD048843809,500342,Hartford,Madison,-90.098,38.799,2009-09-23,2010-03-04,,,,Illinois,IL,listed
Sandoval Zinc Company,ILD053980454,500360,Sandoval,Marion,-89.108251,38.613061,2011-03-10,2011-09-16,,,,Illinois,IL,listed
Bautsch-Gray Mine,ILN000510407,510407,Galena,Jo Daviess,-90.398569,42.357422,2012-03-15,2012-09-18,,,,Illinois,IL,listed
Estech General Chemical Company,ILD099213498,500521,Calumet City,Cook,-87.526905,41.628303,2015-03-26,2015-09-30,,,,Illinois,IL,listed
Old American Zinc Plant,IL0000034355,507352,Fairmont City,St. Clair,-90.099,38.648,2015-09-30,2016-04-07,,,,Illinois,IL,listed
Schroud Property,ILN000505540,505540,Chicago,Cook,-87.543503,41.662606,2019-06-03,2019-11-08,,,,Illinois,IL,listed
Acme Steel Coke Plant,ILN000509241,509241,Chicago,Cook,-87.561392,41.688533,2023-09-07,2024-03-07,,,,Illinois,IL,listed
Envirochem Corp.,IND084259951,501540,Zionsville,Boone,-86.278339,40.03,1982-12-30,1983-09-08,2009-09-03,,,Indiana,IN,cleaning
Fisher-Calo,IND074315896,501504,La Porte,La Porte,-86.6709,41.5081,1982-12-30,1983-09-08,1998-08-06,,,Indiana,IN,cleaning
Fort Wayne Reduction Dump,IND980679542,501799,Fort Wayne,Allen,-85.066669,41.075,1984-10-15,1986-06-10,1995-09-27,,,Indiana,IN,cleaning
Lake Sandy Jo (M&M Landfill),IND980500524,501611,Gary,Lake,-87.382231,41.570839,1982-12-30,1983-09-08,1994-09-20,,,Indiana,IN,cleaning
Lemon Lane Landfill,IND980794341,501812,Bloomington,Monroe,-86.5598,39.1731,1982-12-30,1983-09-08,2012-09-26,2021-05-14,2021-09-14,Indiana,IN,completed
Main Street Well Field,IND980794358,501813,Elkhart,Elkhart,-85.979161,41.696389,1982-12-30,1983-09-08,1995-09-28,,,Indiana,IN,cleaning
Marion (Bragg) Dump,IND980794366,501814,Marion,Grant,-85.633061,40.537781,1982-12-30,1983-09-08,1997-09-30,,,Indiana,IN,cleaning
MIDCO I,IND980615421,501761,Gary,Lake,-87.4284,41.5895,1982-12-30,1983-09-08,2017-03-16,,,Indiana,IN,cleaning
MIDCO II,IND980679559,501800,Gary,Lake,-87.408611,41.622781,1984-10-15,1986-06-10,2020-09-04,,,Indiana,IN,cleaning
Neal's Dump (Spencer),IND980794549,501817,Spencer,Owen,-86.7968,39.2381,1984-10-15,1986-06-10,1999-03-17,1999-08-26,1999-10-04,Indiana,IN,completed
Neal's Landfill (Bloomington),IND980614556,501759,Bloomington,Monroe,-86.6405,39.1667,1982-12-30,1983-09-08,2012-07-19,2021-05-14,2021-09-14,Indiana,IN,completed
Ninth Avenue Dump,IND980794432,501816,Gary,Lake,-87.429,41.5934,1982-12-30,1983-09-08,1995-09-25,,,Indiana,IN,cleaning
Reilly Tar & Chemical Corp. (Indianapolis Plant),IND000807107,501215,Indianapolis,Marion,-86.218331,39.740281,1983-09-08,1984-09-21,1999-12-16,,,Indiana,IN,cleaning
Seymour Recycling Corp.,IND040313017,501404,Seymour,Jackson,-85.9213,38.9352,1982-12-30,1983-09-08,1993-09-08,,,Indiana,IN,cleaning
Wayne Waste Oil,IND048989479,501439,Columbia City,Whitley,-85.476111,41.1525,1982-12-30,1983-09-08,1995-06-30,,,Indiana,IN,cleaning
"Wedzeb Enterprises, Inc.",IND980794374,501815,Lebanon,Boone,-86.4723,40.0453,1982-12-30,1983-09-08,1990-09-26,1991-03-05,1991-09-10,Indiana,IN,completed
"American Chemical Service, Inc.",IND016360265,501373,Griffith,Lake,-87.4191,41.5142,1983-09-08,1984-09-21,2004-09-27,,,Indiana,IN,cleaning
Bennett Stone Quarry,IND006418651,501343,Bloomington,Monroe,-86.5612,39.1902,1983-09-08,1984-09-21,2000-09-25,2021-05-14,2021-09-14,Indiana,IN,completed
"Northside Sanitary Landfill, Inc.",IND050530872,501442,Zionsville,Boone,-86.273331,40.028331,1983-09-08,1984-09-21,1996-09-03,,,Indiana,IN,cleaning
Poer Farm,IND980684583,501805,Hancock County,Hancock,-85.605281,39.844719,1983-09-08,1984-09-21,1989-08-18,1989-09-21,1991-02-11,Indiana,IN,completed
International Minerals & Chemicals Corp. (Terre Haute East Plant),INT190010876,502150,Terre Haute,Vigo,-87.391389,39.437781,1984-10-15,1986-06-10,1988-06-22,1989-09-22,1991-02-11,Indiana,IN,completed
"Waste, Inc., Landfill",IND980504005,501630,Michigan City,La Porte,-86.88,41.721669,1985-04-10,1987-07-22,1997-12-18,2008-08-21,2008-10-20,Indiana,IN,completed
Tri-State Plating,IND006038764,501308,Columbus,Bartholomew,-85.9007,39.2164,1985-09-18,1986-06-10,1992-06-10,1997-05-22,1997-07-14,Indiana,IN,completed
Columbus Old Municipal Landfill #1,IND980607626,501673,Columbus,Bartholomew,-85.926,39.1974,1985-09-18,1986-06-10,1994-09-15,2013-11-25,2014-01-24,Indiana,IN,completed
