name,id,semsId,state,city,county,status,lng,lat,dateProposed,dateListed,dateCompleted,dateNOID,dateDeleted,hasPartialDeletion
New London Submarine Base,CTD980906515,100261,Connecticut,New London,New London,NPL Site,-72.087081,41.400139,10/26/1989,8/30/1990,,,,TRUE
"Raymark Industries, Inc.",CTD001186618,100094,Connecticut,Stratford,Fairfield,NPL Site,-73.117222,41.201278,1/18/1994,4/25/1995,,,,TRUE
Scovill Industrial Landfill,CT0002265551,102953,Connecticut,Waterbury,New Haven,NPL Site,-73.010639,41.550389,5/11/2000,7/27/2000,,,,TRUE
Washington Navy Yard,DC9170024310,300031,District of Columbia,Washington,District of Columbia,NPL Site,-76.9875,38.875,3/6/1998,7/28/1998,,,,TRUE
Army Creek Landfill,DED980494496,300086,Delaware,New Castle County,New Castle,NPL Site,-75.608331,39.653061,12/30/1982,9/8/1983,4/29/1994,,,TRUE
Delaware Sand & Gravel Landfill,DED000605972,300034,Delaware,New Castle County,New Castle,NPL Site,-75.602781,39.651389,12/30/1982,9/8/1983,8/12/1997,,,TRUE
Delaware City PVC Plant,DED980551667,300091,Delaware,Delaware City,New Castle,NPL Site,-75.649439,39.586111,12/30/1982,9/8/1983,9/26/2001,,,TRUE
"Harvey & Knott Drum, Inc.",DED980713093,300123,Delaware,Kirkwood,New Castle,NPL Site,-75.770839,39.573331,12/30/1982,9/8/1983,6/22/1994,,,TRUE
New Castle Steel,DED980705255,300106,Delaware,New Castle County,New Castle,Deleted NPL Site,-75.577769,39.657781,12/30/1982,9/8/1983,8/17/1988,9/22/1988,3/17/1989,TRUE
New Castle Spill,DED058980442,300069,Delaware,New Castle County,New Castle,Deleted NPL Site,-75.561669,39.670281,12/30/1982,9/8/1983,7/19/1992,3/21/1996,6/12/1996,TRUE
Tybouts Corner Landfill,DED000606079,300035,Delaware,New Castle County,New Castle,NPL Site,-75.653339,39.6125,12/30/1982,9/8/1983,9/11/1995,,,TRUE
Wildcat Landfill,DED980704951,300101,Delaware,Dover,Kent,Deleted NPL Site,-75.5,39.120831,12/30/1982,9/8/1983,9/30/1992,1/13/2003,3/14/2003,TRUE
Coker's Sanitation Service Landfills,DED980704860,300097,Delaware,Kent County,Kent,Deleted NPL Site,-75.611389,39.227219,4/10/1985,7/22/1987,9/29/1993,6/3/2011,8/2/2011,TRUE
NCR Corp. (Millsboro Plant),DED043958388,300061,Delaware,Millsboro,Sussex,NPL Site,-75.283061,38.5775,4/10/1985,7/22/1987,9/27/1996,,,TRUE
Halby Chemical Co.,DED980830954,300125,Delaware,New Castle,New Castle,NPL Site,-75.537219,39.718611,9/18/1985,6/10/1986,4/22/2002,,,TRUE
"Standard Chlorine of Delaware, Inc.",DED041212473,300058,Delaware,Delaware City,New Castle,NPL Site,-75.635831,39.599581,9/18/1985,7/22/1987,,,,TRUE
Tyler Refrigeration Pit,DED980705545,300111,Delaware,Smyrna,Kent,Deleted NPL Site,-75.618889,39.295281,6/10/1986,2/21/1990,5/10/1996,1/28/2004,3/29/2004,TRUE
Dover Gas Light Co.,DED980693550,300095,Delaware,Dover,Kent,NPL Site,-75.5277,39.1558,1/22/1987,10/4/1989,,,,TRUE
"E.I. du Pont de Nemours & Co., Inc. (Newport Pigment Plant Landfill)",DED980555122,300093,Delaware,Newport,New Castle,NPL Site,-75.609169,39.708331,1/22/1987,2/21/1990,9/19/2002,,,TRUE
Sussex County Landfill No. 5,DED980494637,300089,Delaware,Laurel,Sussex,Deleted NPL Site,-75.614169,38.535,6/24/1988,10/4/1989,12/29/1994,7/30/2001,9/28/2001,TRUE
Sealand Limited,DED981035520,300137,Delaware,Mount Pleasant,New Castle,Deleted NPL Site,-75.71,39.5126,6/24/1988,8/30/1990,3/27/1992,2/10/1997,7/1/1997,TRUE
"Koppers Co., Inc. (Newport Plant)",DED980552244,300092,Delaware,Newport,New Castle,NPL Site,-75.624169,39.704719,10/26/1989,8/30/1990,,,,TRUE
Dover Air Force Base,DE8570024010,300191,Delaware,Dover,Kent,NPL Site,-75.466669,39.127781,7/22/1987,3/13/1989,9/27/2006,,,TRUE
"Chem-Solv, Inc.",DED980714141,300124,Delaware,Cheswold,Kent,Deleted NPL Site,-75.5764,39.2216,6/24/1988,8/30/1990,6/30/1998,3/31/2022,8/17/2022,TRUE
Millsboro TCE,DEN000306645,306645,Delaware,Millsboro,Sussex,Proposed NPL Site,-75.298061,38.588158,9/23/2009,,,,,TRUE
Newark South Ground Water Plume,DEN000306877,306877,Delaware,Newark,New Castle,NPL Site,-75.735,39.653889,8/3/2017,1/18/2018,,,,TRUE
Hockessin Groundwater,DEN000303920,303920,Delaware,Hockessin,New Castle,NPL Site,-75.696513,39.78752,1/18/2018,5/17/2018,,,,TRUE
Blades Groundwater,DEN000304203,304203,Delaware,Blades,Sussex,NPL Site,-75.610467,38.631644,11/8/2019,9/3/2020,,,,TRUE
Georgetown North Groundwater,DEN000304167,304167,Delaware,Georgetown,Sussex,NPL Site,-75.383985,38.693399,3/18/2022,9/9/2022,,,,TRUE
East Basin Road Groundwater,DEN000304044,304044,Delaware,New Castle,New Castle,NPL Site,-75.597211,39.673092,9/9/2022,3/29/2023,,,,TRUE
Alpha Chemical Corp.,FLD041495441,400623,Florida,Galloway,Polk,Deleted NPL Site,-82.009719,28.100831,12/30/1982,9/8/1983,9/21/1990,5/3/1995,6/28/1995,TRUE
American Creosote Works (Pensacola Plant),FLD008161994,400572,Florida,Pensacola,Escambia,NPL Site,-87.236661,30.404719,12/30/1982,9/8/1983,,,,TRUE
Brown Wood Preserving,FLD980728935,400917,Florida,Live Oak,Suwannee,Deleted NPL Site,-83.01305,30.3025,12/30/1982,9/8/1983,12/31/1991,7/6/1995,9/22/1995,TRUE
Coleman-Evans Wood Preserving Co.,FLD991279894,401202,Florida,Whitehouse,Duval,Deleted NPL Site,-81.842781,30.313889,12/30/1982,9/8/1983,9/18/2007,3/27/2014,5/27/2014,TRUE
Davie Landfill,FLD980602288,400897,Florida,Davie,Broward,Deleted NPL Site,-80.3426,26.0696,12/30/1982,9/8/1983,11/8/1995,6/22/2006,8/21/2006,TRUE
Florida Steel Corp.,FLD050432251,400657,Florida,Indiantown,Martin,NPL Site,-80.506111,27.041111,12/30/1982,9/8/1983,9/11/1997,,,TRUE
Gold Coast Oil Corp.,FLD071307680,400736,Florida,Miami,Miami-Dade,Deleted NPL Site,-80.3112,25.7434,12/30/1982,9/8/1983,6/23/1992,8/21/1996,10/9/1996,TRUE
Hollingsworth Solderless Terminal,FLD004119681,400548,Florida,Fort Lauderdale,Broward,NPL Site,-80.152219,26.198331,12/30/1982,9/8/1983,6/4/1993,,,TRUE
Kassauf-Kimerling Battery Disposal,FLD980727820,400914,Florida,Tampa,Hillsborough,Deleted NPL Site,-82.39,27.967219,12/30/1982,9/8/1983,9/24/1998,8/5/1999,10/2/2000,TRUE
Miami Drum Services,FLD076027820,400746,Florida,Miami,Miami-Dade,NPL Site,-80.313061,25.837219,12/30/1982,9/8/1983,4/28/1993,,,TRUE
Munisport Landfill,FLD084535442,400769,Florida,North Miami,Miami-Dade,Deleted NPL Site,-80.154169,25.908331,12/30/1982,9/8/1983,9/5/1997,6/25/1999,9/24/1999,TRUE
Northwest 58th Street Landfill,FLD980602643,400900,Florida,Hialeah,Miami-Dade,Deleted NPL Site,-80.347219,25.833331,12/30/1982,9/8/1983,3/6/1995,8/2/1996,10/11/1996,TRUE
Parramore Surplus,FLD041140344,400622,Florida,Mount Pleasant,Gadsden,Deleted NPL Site,-84.69375,30.660689,12/30/1982,9/8/1983,9/15/1987,11/29/1988,2/21/1989,TRUE
Pickettville Road Landfill,FLD980556351,400859,Florida,Jacksonville,Duval,NPL Site,-81.738889,30.368611,12/30/1982,9/8/1983,9/24/2008,,,TRUE
Pioneer Sand Co.,FLD056116965,400684,Florida,Warrington,Escambia,Deleted NPL Site,-87.351389,30.474169,12/30/1982,9/8/1983,12/31/1991,12/1/1992,2/8/1993,TRUE
Reeves Southeastern Galvanizing Corp.,FLD000824896,400485,Florida,Tampa,Hillsborough,NPL Site,-82.341939,27.9725,12/30/1982,9/8/1983,9/10/2019,,,TRUE
Sapp Battery Salvage,FLD980602882,400902,Florida,Cottondale,Jackson,NPL Site,-85.3925,30.728331,12/30/1982,9/8/1983,9/19/2012,,,TRUE
Schuylkill Metals Corp.,FLD062794003,400710,Florida,Plant City,Hillsborough,Deleted NPL Site,-82.143061,28.010831,12/30/1982,9/8/1983,9/15/1998,6/12/2001,8/22/2001,TRUE
Sherwood Medical Industries,FLD043861392,400637,Florida,Deland,Volusia,NPL Site,-81.265,29.060831,12/30/1982,9/8/1983,9/18/1997,,,TRUE
Taylor Road Landfill,FLD980494959,400853,Florida,Seffner,Hillsborough,NPL Site,-82.29305,28.009719,12/30/1982,9/8/1983,6/18/1999,,,TRUE
Tower Chemical Co.,FLD004065546,400521,Florida,Clermont,Lake,NPL Site,-81.684719,28.551389,12/30/1982,9/8/1983,,,,TRUE
Varsol Spill,FLD980602346,400898,Florida,Miami,Miami-Dade,Deleted NPL Site,-80.2772,25.8047,12/30/1982,9/8/1983,3/29/1985,3/14/1988,9/1/1988,TRUE
Whitehouse Oil Pits,FLD980602767,400901,Florida,Whitehouse,Duval,Deleted NPL Site,-81.8513,30.3201,12/30/1982,9/8/1983,5/4/2006,7/17/2018,9/19/2018,TRUE
Zellwood Ground Water Contamination,FLD049985302,400655,Florida,Zellwood,Orange,NPL Site,-81.613331,28.73195,12/30/1982,9/8/1983,9/16/2003,,,TRUE
Sixty-Second Street Dump,FLD980728877,400916,Florida,Tampa,Hillsborough,Deleted NPL Site,-82.386389,27.969439,12/30/1982,9/8/1983,9/29/1995,8/4/1999,10/1/1999,TRUE
Cabot/Koppers,FLD980709356,400903,Florida,Gainesville,Alachua,NPL Site,-82.323061,29.675,9/8/1983,9/21/1984,,,,TRUE
Dubose Oil Products Co.,FLD000833368,400492,Florida,Cantonment,Escambia,Deleted NPL Site,-87.37695,30.618061,10/15/1984,6/10/1986,9/25/1995,8/4/2004,10/1/2004,TRUE
Hipps Road Landfill,FLD980709802,400908,Florida,Duval County,Duval,Deleted NPL Site,-81.805561,30.216939,9/8/1983,9/21/1984,9/2/1994,12/29/2011,2/27/2012,TRUE
Peak Oil Co./Bay Drum Co.,FLD004091807,400536,Florida,Tampa,Hillsborough,NPL Site,-82.3404,27.9708,10/15/1984,6/10/1986,9/26/2006,,,TRUE
"Pepper Steel & Alloys, Inc.",FLD032544587,400599,Florida,Medley,Miami-Dade,NPL Site,-80.353331,25.873611,9/8/1983,9/21/1984,9/28/1993,,,TRUE
Sydney Mine Sludge Ponds,FLD000648055,400471,Florida,Brandon,Hillsborough,NPL Site,-82.209166,27.929166,6/10/1986,10/4/1989,6/28/1999,,,TRUE
"Tri-City Oil Conservationist, Inc.",FLD070864541,400733,Florida,Tampa,Hillsborough,Deleted NPL Site,-82.4015,28.0318,9/8/1983,9/21/1984,9/21/1987,3/14/1988,9/1/1988,TRUE
Wingate Road Municipal Incinerator Dump,FLD981021470,401078,Florida,Fort Lauderdale,Broward,NPL Site,-80.1847,26.1444,6/24/1988,10/4/1989,1/4/2002,,,TRUE
Piper Aircraft Corp./Vero Beach Water & Sewer Department,FLD004054284,400512,Florida,Vero Beach,Indian River,NPL Site,-80.415555,27.647499,6/10/1986,2/21/1990,9/21/1998,,,TRUE
Harris Corp. (Palm Bay Plant),FLD000602334,400460,Florida,Palm Bay,Brevard,NPL Site,-80.601389,28.030281,4/10/1985,7/22/1987,7/1/1998,,,TRUE
Petroleum Products Corp.,FLD980798698,400919,Florida,Pembroke Park,Broward,NPL Site,-80.1696,25.9926,4/10/1985,7/22/1987,,,,TRUE
Yellow Water Road Dump,FLD980844179,400933,Florida,Baldwin,Duval,Deleted NPL Site,-81.9717,30.2803,9/18/1985,6/10/1986,10/3/1996,12/23/1998,5/18/1999,TRUE
"Anodyne, Inc.",FLD981014368,401044,Florida,North Miami Beach,Miami-Dade,NPL Site,-80.221531,25.923189,6/24/1988,2/21/1990,,,,TRUE
Beulah Landfill,FLD980494660,400836,Florida,Pensacola,Escambia,Deleted NPL Site,-87.345139,30.513061,6/24/1988,2/21/1990,9/16/1993,4/24/1998,6/22/1998,TRUE
Airco Plating Co.,FLD004145140,400561,Florida,Miami,Miami-Dade,NPL Site,-80.2559,25.8152,6/24/1988,2/21/1990,9/15/1999,,,TRUE
Standard Auto Bumper Corp.,FLD004126520,400554,Florida,Hialeah,Miami-Dade,Deleted NPL Site,-80.289721,25.844444,6/24/1988,10/4/1989,10/4/1994,8/27/2007,10/26/2007,TRUE
"B&B Chemical Co., Inc.",FLD004574190,400566,Florida,Hialeah,Miami-Dade,Deleted NPL Site,-80.300139,25.839581,6/24/1988,8/30/1990,10/1/1994,6/6/2014,8/5/2014,TRUE
Woodbury Chemical Co. (Princeton Plant),FLD004146346,400563,Florida,Princeton,Miami-Dade,Deleted NPL Site,-80.4124,25.5367,6/24/1988,8/30/1990,6/25/1992,8/21/1995,11/27/1995,TRUE
Madison County Sanitary Landfill,FLD981019235,404199,Florida,Madison,Madison,NPL Site,-83.39375,30.501111,6/24/1988,8/30/1990,2/4/1997,,,TRUE
"Chemform, Inc.",FLD080174402,400756,Florida,Pompano Beach,Broward,Deleted NPL Site,-80.141374,26.219055,6/24/1988,10/4/1989,9/16/1993,5/9/2000,7/28/2000,TRUE
Agrico Chemical Co.,FLD980221857,400818,Florida,Pensacola,Escambia,NPL Site,-87.2256,30.4512,6/24/1988,10/4/1989,9/23/1999,,,TRUE
"Wilson Concepts of Florida, Inc.",FLD041184383,404399,Florida,Pompano Beach,Broward,Deleted NPL Site,-80.142768,26.218675,6/24/1988,3/31/1989,9/22/1992,2/10/1995,4/4/1995,TRUE
BMI-Textron,FLD052172954,400668,Florida,Lake Park,Palm Beach,Deleted NPL Site,-80.0738,26.7937,6/24/1988,8/30/1990,8/11/1994,9/19/2002,11/18/2002,TRUE
Anaconda Aluminum Co./Milgo Electronics Corp.,FLD020536538,400581,Florida,Miami,Miami-Dade,Deleted NPL Site,-80.256531,25.843061,10/26/1989,8/30/1990,11/22/1994,3/23/1998,7/9/1998,TRUE
Jacksonville Naval Air Station,FL6170024412,401214,Florida,Jacksonville,Duval,NPL Site,-81.682777,30.22111,7/14/1989,11/21/1989,,,,TRUE
Cecil Field Naval Air Station,FL5170022474,404743,Florida,Jacksonville,Duval,NPL Site,-81.902777,30.23861,7/14/1989,11/21/1989,8/26/2009,,,TRUE
Pensacola Naval Air Station,FL9170024567,401221,Florida,Pensacola,Escambia,NPL Site,-87.283054,30.357222,7/14/1989,11/21/1989,,,,TRUE
Homestead Air Force Base,FL7570024037,404746,Florida,Homestead,Miami-Dade,NPL Site,-80.396944,25.489444,7/14/1989,8/30/1990,9/29/2006,,,TRUE
Stauffer Chemical Co. (Tarpon Springs),FLD010596013,400578,Florida,Tarpon Springs,Pinellas,NPL Site,-82.775694,28.166666,2/7/1992,5/31/1994,,,,TRUE
Helena Chemical Co. (Tampa Plant),FLD053502696,400674,Florida,Tampa,Hillsborough,NPL Site,-82.374813,27.963931,2/7/1992,10/14/1992,,,,TRUE
Whiting Field Naval Air Station,FL2170023244,401208,Florida,Milton,Santa Rosa,NPL Site,-87.020417,30.709722,1/18/1994,5/31/1994,,,,TRUE
Chevron Chemical Co. (Ortho Division),FLD004064242,400520,Florida,Orlando,Orange,NPL Site,-81.408889,28.578889,1/18/1994,5/31/1994,2/10/1998,,,TRUE
Escambia Wood - Pensacola,FLD008168346,400573,Florida,Pensacola,Escambia,NPL Site,-87.2317,30.4553,8/23/1994,12/16/1994,,,,TRUE
Normandy Park Apartments,FLD984229773,405823,Florida,Temple Terrace,Hillsborough,Proposed NPL Site,-82.394722,28.049444,2/13/1995,,,,,TRUE
MRI Corp (Tampa),FLD088787585,400779,Florida,Tampa,Hillsborough,NPL Site,-82.355833,27.96,6/17/1996,12/23/1996,3/21/2013,,,TRUE
Kerr-McGee (Reed-Keppler Park),ILD980824007,500761,Illinois,West Chicago,Du Page,Deleted NPL Site,-88.208339,41.891939,10/15/1984,8/30/1990,9/13/2002,12/8/2009,2/8/2010,TRUE
Kerr-McGee (Residential Areas),ILD980824015,500762,Illinois,"DuPage County, West Chicago",Du Page,NPL Site,-88.2075,41.878333,10/15/1984,8/30/1990,9/30/2003,,,TRUE
Kerr-McGee (Sewage Treatment Plant),ILD980824031,500763,Illinois,West Chicago,Du Page,Deleted NPL Site,-88.1924,41.8643,10/15/1984,8/30/1990,9/29/2006,2/19/2013,4/22/2013,TRUE
Sangamo Electric Dump/Crab Orchard National Wildlife Refuge (USDOI),IL8143609487,501181,Illinois,Carterville,Williamson,NPL Site,-89.014722,37.693194,10/15/1984,7/22/1987,,,,TRUE
NL Industries/Taracorp Lead Smelter,ILD096731468,500507,Illinois,Granite City,Madison,NPL Site,-90.158331,38.695,10/15/1984,6/10/1986,9/26/2000,,,TRUE
Petersen Sand & Gravel,ILD003817137,500127,Illinois,Libertyville,Lake,Deleted NPL Site,-87.9537,42.315831,10/15/1984,6/10/1986,9/12/1989,9/22/1989,2/11/1991,TRUE
Pagel's Pit,ILD980606685,500628,Illinois,Rockford,Winnebago,NPL Site,-89.056661,42.158331,10/15/1984,6/10/1986,9/30/1999,,,TRUE
Joliet Army Ammunition Plant (Manufacturing Area),IL7213820460,501179,Illinois,Joliet,Will,NPL Site,-88.1563,41.3762,10/15/1984,7/22/1987,9/10/2008,,,TRUE
H.O.D. Landfill,ILD980605836,500581,Illinois,Antioch,Lake,NPL Site,-88.0819,42.4753,9/18/1985,2/21/1990,6/29/2001,,,TRUE
"Tri-County Landfill Co./Waste Management of Illinois, Inc.",ILD048306138,500340,Illinois,South Elgin,Kane,NPL Site,-88.2712,41.9832,6/10/1986,3/31/1989,11/1/2001,,,TRUE
Parsons Casket Hardware Co.,ILD005252432,500189,Illinois,Belvidere,Boone,NPL Site,-88.836,42.2692,1/22/1987,7/22/1987,,,,TRUE
Yeoman Creek Landfill,ILD980500102,500574,Illinois,Waukegan,Lake,NPL Site,-87.848611,42.388889,6/24/1988,3/31/1989,9/23/2005,,,TRUE
DuPage County Landfill/Blackwell Forest,ILD980606305,500606,Illinois,Warrenville,Du Page,Deleted NPL Site,-88.1787,41.8326,6/24/1988,2/21/1990,9/30/1998,7/8/2020,9/8/2020,TRUE
Southeast Rockford Ground Water Contamination,ILD981000417,500955,Illinois,Rockford,Winnebago,NPL Site,-89.071111,42.230689,6/24/1988,3/31/1989,,,,TRUE
Amoco Chemicals (Joliet Landfill),ILD002994259,500125,Illinois,Joliet,Will,NPL Site,-88.172781,41.441669,6/24/1988,2/21/1990,,,,TRUE
"Interstate Pollution Control, Inc.",ILT180011975,501164,Illinois,Rockford,Winnebago,NPL Site,-89.098,42.241,6/24/1988,3/31/1989,9/6/2006,,,TRUE
Central Illinois Public Service Co.,ILD981781065,501082,Illinois,Taylorville,Christian,NPL Site,-89.2975,39.5404,6/24/1988,8/30/1990,9/6/1995,,,TRUE
Ilada Energy Co.,ILD980996789,500942,Illinois,East Cape Girardeau,Alexander,Deleted NPL Site,-89.4635,37.2584,6/24/1988,10/4/1989,9/28/1999,11/9/2000,1/8/2001,TRUE
Woodstock Municipal Landfill,ILD980605943,500585,Illinois,Woodstock,McHenry,NPL Site,-88.4402,42.2923,6/24/1988,10/4/1989,9/19/2000,,,TRUE
MIG/Dewane Landfill,ILD980497788,500551,Illinois,Belvidere,Boone,NPL Site,-88.806944,42.255917,10/26/1989,8/30/1990,7/27/2017,,,TRUE
"Lenz Oil Service, Inc.",ILD005451711,500199,Illinois,Lemont,Du Page,NPL Site,-87.9422,41.7068,6/24/1988,10/4/1989,9/28/2009,,,TRUE
Adams County Quincy Landfills 2&3,ILD980607055,500656,Illinois,Quincy,Adams,NPL Site,-91.268472,39.929444,6/24/1988,8/30/1990,3/31/1999,,,TRUE
Beloit Corp.,ILD021440375,500272,Illinois,Rockton,Winnebago,NPL Site,-89.06555,42.468611,6/24/1988,8/30/1990,9/29/2008,,,TRUE
Ottawa Radiation Areas,ILD980606750,500634,Illinois,Ottawa,La Salle,NPL Site,-88.836111,41.351667,7/29/1991,10/14/1992,,,,TRUE
Jennison-Wright Corporation,ILD006282479,500229,Illinois,Granite City,Madison,NPL Site,-90.1525,38.708333,10/2/1995,6/17/1996,9/28/2009,,,TRUE
Circle Smelting Corp,ILD050231976,500350,Illinois,Beckemeyer,Clinton,Proposed NPL Site,-89.420833,38.608333,6/17/1996,,,,,TRUE
DePue/New Jersey Zinc/Mobil Chemical Corp.,ILD062340641,500396,Illinois,DePue,Bureau,NPL Site,-89.304167,41.327778,4/1/1997,5/10/1999,,,,TRUE
Indian Refinery-Texaco Lawrenceville,ILD042671248,500315,Illinois,Lawrenceville,Lawrence,NPL Site,-87.682222,38.715556,7/28/1998,12/1/2000,,,,TRUE
Matthiessen and Hegeler Zinc Company,IL0000064782,507364,Illinois,La Salle,La Salle,NPL Site,-89.083067,41.34215,6/14/2001,9/29/2003,,,,TRUE
Sauget Area 1,ILD980792006,500753,Illinois,"Cahokia, Sauget",St. Clair,Proposed NPL Site,-90.172917,38.585833,9/13/2001,,,,,TRUE
Sauget Area 2,ILD000605790,500047,Illinois,Sauget,St. Clair,Proposed NPL Site,-90.182222,38.597361,9/13/2001,,,,,TRUE
Savanna Army Depot Activity,IL3210020803,501174,Illinois,Savanna,Jo Daviess,NPL Site,-90.313331,42.21,7/22/1987,3/13/1989,,,,TRUE
Joliet Army Ammunition Plant (Load-Assembly-Packing Area),IL0210090049,501170,Illinois,Joliet,Will,NPL Site,-88.0772,41.3662,7/22/1987,3/13/1989,9/29/2008,,,TRUE
Hegeler Zinc,ILN000508134,508134,Illinois,Danville,Vermilion,NPL Site,-87.650092,40.076322,9/23/2004,4/27/2005,,,,TRUE
Lake Calumet Cluster,ILD000716852,500078,Illinois,Chicago,Cook,NPL Site,-87.568889,41.679444,9/14/2005,3/4/2010,,,,TRUE
ASARCO Taylor Springs,ILN000508170,508170,Illinois,Taylor Springs,Montgomery,NPL Site,-89.505458,39.118677,4/19/2006,9/27/2006,,,,TRUE
Eagle Zinc Co Div T L Diamond,ILD980606941,500648,Illinois,Hillsboro,Montgomery,NPL Site,-89.476417,39.161167,3/7/2007,9/19/2007,,,,TRUE
Chemetco,ILD048843809,500342,Illinois,Hartford,Madison,NPL Site,-90.098,38.799,9/23/2009,3/4/2010,,,,TRUE
Sandoval Zinc Company,ILD053980454,500360,Illinois,Sandoval,Marion,NPL Site,-89.108251,38.613061,3/10/2011,9/16/2011,,,,TRUE
Bautsch-Gray Mine,ILN000510407,510407,Illinois,Galena,Jo Daviess,NPL Site,-90.398569,42.357422,3/15/2012,9/18/2012,,,,TRUE
Estech General Chemical Company,ILD099213498,500521,Illinois,Calumet City,Cook,NPL Site,-87.526905,41.628303,3/26/2015,9/30/2015,,,,TRUE
Old American Zinc Plant,IL0000034355,507352,Illinois,Fairmont City,St. Clair,NPL Site,-90.099,38.648,9/30/2015,4/7/2016,,,,TRUE
Schroud Property,ILN000505540,505540,Illinois,Chicago,Cook,NPL Site,-87.543503,41.662606,6/3/2019,11/8/2019,,,,TRUE
Acme Steel Coke Plant,ILN000509241,509241,Illinois,Chicago,Cook,NPL Site,-87.561392,41.688533,9/7/2023,3/7/2024,,,,TRUE
Envirochem Corp.,IND084259951,501540,Indiana,Zionsville,Boone,NPL Site,-86.278339,40.03,12/30/1982,9/8/1983,9/3/2009,,,TRUE
Fisher-Calo,IND074315896,501504,Indiana,La Porte,La Porte,NPL Site,-86.6709,41.5081,12/30/1982,9/8/1983,8/6/1998,,,TRUE
Fort Wayne Reduction Dump,IND980679542,501799,Indiana,Fort Wayne,Allen,NPL Site,-85.066669,41.075,10/15/1984,6/10/1986,9/27/1995,,,TRUE
Lake Sandy Jo (M&M Landfill),IND980500524,501611,Indiana,Gary,Lake,NPL Site,-87.382231,41.570839,12/30/1982,9/8/1983,9/20/1994,,,TRUE
Lemon Lane Landfill,IND980794341,501812,Indiana,Bloomington,Monroe,Deleted NPL Site,-86.5598,39.1731,12/30/1982,9/8/1983,9/26/2012,5/14/2021,9/14/2021,TRUE
Main Street Well Field,IND980794358,501813,Indiana,Elkhart,Elkhart,NPL Site,-85.979161,41.696389,12/30/1982,9/8/1983,9/28/1995,,,TRUE
Marion (Bragg) Dump,IND980794366,501814,Indiana,Marion,Grant,NPL Site,-85.633061,40.537781,12/30/1982,9/8/1983,9/30/1997,,,TRUE
MIDCO I,IND980615421,501761,Indiana,Gary,Lake,NPL Site,-87.4284,41.5895,12/30/1982,9/8/1983,3/16/2017,,,TRUE
MIDCO II,IND980679559,501800,Indiana,Gary,Lake,NPL Site,-87.408611,41.622781,10/15/1984,6/10/1986,9/4/2020,,,TRUE
Neal's Dump (Spencer),IND980794549,501817,Indiana,Spencer,Owen,Deleted NPL Site,-86.7968,39.2381,10/15/1984,6/10/1986,3/17/1999,8/26/1999,10/4/1999,TRUE
Neal's Landfill (Bloomington),IND980614556,501759,Indiana,Bloomington,Monroe,Deleted NPL Site,-86.6405,39.1667,12/30/1982,9/8/1983,7/19/2012,5/14/2021,9/14/2021,TRUE
Ninth Avenue Dump,IND980794432,501816,Indiana,Gary,Lake,NPL Site,-87.429,41.5934,12/30/1982,9/8/1983,9/25/1995,,,TRUE
Reilly Tar & Chemical Corp. (Indianapolis Plant),IND000807107,501215,Indiana,Indianapolis,Marion,NPL Site,-86.218331,39.740281,9/8/1983,9/21/1984,12/16/1999,,,TRUE
Seymour Recycling Corp.,IND040313017,501404,Indiana,Seymour,Jackson,NPL Site,-85.9213,38.9352,12/30/1982,9/8/1983,9/8/1993,,,TRUE
Wayne Waste Oil,IND048989479,501439,Indiana,Columbia City,Whitley,NPL Site,-85.476111,41.1525,12/30/1982,9/8/1983,6/30/1995,,,TRUE
